OLD
Listening 07;https://www.youtube.com/watch?v=nQ3R_hS2Sy0
Reading 119;https://www.youtube.com/watch?v=dqMNEURG0OE
1;A
2;A
3;D
4;B
5;B
6;B
7;C
8;B
9;A
10;A
11;A
12;A
13;B
14;A
15;A
16;A
17;B
18;C
19;B
20;B
21;A
22;B
23;B
24;C
25;B
26;C
27;A
28;B
29;A
30;B
31;C
32;A
33;B
34;B
35;B
36;B
37;C
38;B
39;B
40;C
41;D
42;B
43;A
44;D
45;C
46;D
47;C
48;A
49;C
50;C
51;D
52;B
53;C
54;A
55;B
56;B
57;C
58;D
59;A
60;A
61;B
62;C
63;A
64;A
65;B
66;C
67;D
68;A
69;C
70;B
71;A
72;D
73;B
74;D
75;A
76;C
77;D
78;A
79;B
80;C
81;B
82;C
83;B
84;A
85;C
86;A
87;B
88;A
89;D
90;A
91;B
92;A
93;D
94;D
95;B
96;C
97;D
98;C
99;A
100;B
101;D
102;D
103;D
104;A
105;D
106;C
107;C
108;B
109;A
110;B
111;B
112;B
113;C
114;B
115;C
116;C
117;B
118;C
119;D
120;D
121;C
122;C
123;C
124;B
125;C
126;C
127;C
128;D
129;B
130;B
131;A
132;B
133;C
134;B
135;A
136;A
137;B
138;D
139;D
140;C
141;B
142;B
143;D
144;C
145;D
146;B
147;C
148;D
149;B
150;C
151;B
152;D
153;A
154;C
155;C
156;B
157;A
158;D
159;C
160;B
161;C
162;D
163;B
164;C
165;A
166;A
167;C
168;D
169;B
170;B
171;D
172;A
173;B
174;A
175;A
176;B
177;A
178;C
179;D
180;C
181;D
182;A
183;B
184;C
185;B
186;A
187;C
188;C
189;B
190;A
191;B
192;A
193;C
194;D
195;A
196;A
197;B
198;A
199;C
200;D
